ERR968338	44724	30527854	0.00146502
ERR968339	49451	31653205	0.00156227
ERR968340	37699	22517461	0.00167421
ERR968341	23368	16419972	0.00142314
ERR968342	44323	28391775	0.00156112
ERR968343	42585	29196163	0.00145858
ERR968344	32514	25787850	0.00126083
ERR968345	32091	25156721	0.00127564
ERR968346	40232	23712205	0.00169668
ERR968347	101633	62513920	0.00162577
ERR968348	34911	27242962	0.00128147
ERR968349	49052	28096159	0.00174586
ERR968350	36776	24022669	0.00153089
ERR968351	61686	28942144	0.00213136
ERR968352	62609	30917742	0.00202502
ERR968353	57351	28467599	0.00201461
ERR968354	29984	18431771	0.00162676
ERR968355	17126	10852080	0.00157813
ERR968356	48935	29447373	0.00166178
ERR968357	58466	34854416	0.00167743
ERR968358	42308	26326772	0.00160703
ERR968359	78801	41371134	0.00190473
ERR968360	35783	22448921	0.00159397
ERR968361	58530	29792692	0.00196458
ERR968362	71020	37494977	0.00189412
ERR968363	56170	30086391	0.00186696
ERR968364	57367	31357825	0.00182943
ERR968365	48279	27946488	0.00172755
ERR968366	57122	28647355	0.00199397
ERR968367	77383	43654143	0.00177264
ERR968368	77760	31571477	0.00246298
ERR968369	59051	27407376	0.00215457
ERR968370	55576	27885022	0.00199304
ERR968371	59784	30041586	0.00199004
ERR968372	79221	47529446	0.00166678
ERR968373	82565	50048604	0.0016497
ERR968374	23860	14654805	0.00162813
ERR968375	40931	30094116	0.0013601
ERR968376	44901	25682387	0.00174832
ERR968377	59813	27152786	0.00220283
ERR968378	44560	22010217	0.00202451
ERR968379	51718	26475841	0.0019534
ERR968380	27815	14117027	0.00197032
ERR968381	68226	35281865	0.00193374
ERR968382	43294	22856281	0.00189418
ERR968383	43332	21296051	0.00203474
ERR968384	56790	30190985	0.00188103
ERR968385	65582	31458936	0.00208469
ERR968386	56047	26235957	0.00213627
ERR968387	80455	35247427	0.00228258
ERR968388	46514	25776556	0.00180451
ERR968389	73660	32364563	0.00227595
ERR968390	51509	28096778	0.00183327
ERR968391	65941	29344905	0.0022471
ERR968392	64452	30132765	0.00213893
ERR968393	49986	30091203	0.00166115
ERR968394	41128	27286802	0.00150725
ERR968395	50668	23630474	0.00214418
ERR968396	55837	26558271	0.00210243
ERR968397	52237	26236310	0.00199102
ERR968398	51037	30139670	0.00169335
ERR968399	40293	23296977	0.00172954
ERR968400	58786	34021643	0.0017279
ERR968401	51368	30113395	0.00170582
ERR968402	59079	25830189	0.00228721
ERR968403	54332	27181625	0.00199885
ERR968404	59175	27717826	0.00213491
ERR968405	25478	13275942	0.00191911
ERR968406	191463	79393097	0.00241158
ERR968407	229037	88900697	0.00257632
ERR968408	63957	33113005	0.00193148
ERR968409	69011	35149281	0.00196337
ERR968410	63734	33050565	0.00192838
ERR968411	64162	33288254	0.00192747
ERR968412	36562	23058295	0.00158563
ERR968413	49462	30633702	0.00161463
ERR968414	39195	26423078	0.00148336
ERR968415	72358	42666295	0.00169591
ERR968416	41649	26994290	0.00154288
ERR968417	59147	31743925	0.00186325
ERR968418	61715	37478767	0.00164667
ERR968419	49798	25674756	0.00193957
ERR968420	40246	20130817	0.00199922
ERR978105	76407	31207540	0.00244835
ERR978106	44357	21365983	0.00207606
